b_number,bigram terms,borough,file name,search criteria,text extract,year,borough name (normalised),list of search terms,Keep?,Further notes,View offered of married women's work,Married women's work discussed in the context of motherhood,Occupation type
b19783590,"married,women",Acton,Acton.1929.b19783590.txt,bigram + list of terms,"51 of the deaths, the death was due to a pre-natal cause such as premature births, inanitation, congential debility etc. Into all these deaths, enquiries are carefully made, and though the mothers state the premature birth was brought about by some accident, such as a fall in the house, or a fright or some other innocent or trivial cause, there is reason to believe that other 48 causes have been in operation. Formerly, extra domestic labour carried on into late pregnancy was supposed to have considerable influence in bringing: about a premature birth. It is quite conceivable that employment of married women in laundries, which involved prolonged periods on their feet and in an upright position would be conducive to premature birth, but such conditions are now rare and in very few instances were the mothers employed in laundries or in any other industrial employment. An examination of the distribution of deaths from prematurity and other pre-natal causes would suggest that extra domestic labour is not now an important factor. The relative incidence of deaths from pre-natal causes is Jower in the South West Ward than in the other Wards. We hear nowadays a good deal about birth-control and instruction",1929,Ealing,"employment,employed,employee,work,working,worked,job,occupation",Yes,,Not applicable/no view,Yes,"Laundry, Factory, Unspecified"
b19787893,"married,women",Ealing,Ealing.1929.b19787893.txt,bigram + list of terms,"for the valuable assistance from the Central Aid Society, who assist in obtaining Special Hospital and Convalescent Home treatment for anaemic or badly nourished children; from the National Society for the Prevention of Cruelty to Children in bringing pressure to bear on parents who are neglecting their children; from the School Attendance Aid Committee in supplying boots for necessitous children and from the Middlesex King Edward Memorial Committee in giving holidays at their Holiday Home at Heme Bay to anaemic and weakly children. NURSERY SCHOOLS. There is little demand for the establishment of Nursery Schools in the Borough. Very few married women engaged in regular employment and the housing difficulties are not so insistent as they are in crowded industrial areas. The Education Committee have therefore not established any Nursery Schools or Classes but children between four and five years of age are admitted to the Infants' Departments whenever accommodation is available and whenever the Attendance Sub-Committee are satisfied that it will be of advantage to the children to be admitted. Each case is considered on its merits on the application of the parents to the Sub-Committee. SECONDARY SCHOOLS. On behalf of the Middlesex County Council the Ealing School Medical",1929,Ealing,"employment,employed,employee,work,working,worked,job,occupation",Yes,,Not applicable/no view,Yes,Unspecified
b19823526,"married,women",Woolwich,Woolwich.1930.b19823526.txt,bigram + list of terms,"money in trying to cure them between the ages of 5 and 15. The main aspects of the problem were, therefore, the discovery of defects which existed and the securing of treatment when necessary. In the circular it was suggested that more Nursery Schools might be provided by Education Authorities and more Day Nurseries by Maternity and Child Welfare Authorities. Woolwich had had experience of day nurseries. They were established during the war and extensively used, but immediately after the war they were closed because nobody wanted to use them—no doubt due to the fact that there are relatively fewer married women employed in Woolwich than in any other Borough in London. With this avenue closed, it was necessary to find some other means of approaching the problem, and ultimately it was decided to institute a scheme to provide for the medical inspection of the toddler on similar lines to the medical examination of school children, but making provision for such examination in the third, fourth and fifth year of life. By such a scheme it is hoped to discover defects at least a year or two earlier than they would be discovered by the School Medical Service. With regard",1930,Greenwich,"employment,employed,employee,work,working,worked,job,occupation",yes,,Not applicable/no view,Yes,Unspecified
b19787923,"married,women",Ealing,Ealing.1932.b19787923.txt,bigram + list of terms,"school medical inspection came into being. Thus the results of the service are proving much more profitable to the children in relation to their health and to their education. As in previous years appreciation has to be expressed for assistance rendered in connexion with the care and treatment of school children by the Central Aid Society, the National Society for the Prevention of Cruelty to Children, the School Attendance Aid Committee, and the Middlesex King Edward Memorial Committee. NURSERY SCHOOLS. No nursery schools, as such are defined, have been established in the Borough. There is very little regular employment of married women and housing difficulties are not so acute as to call for special provision for children under 5 years of age. Some mothers certainly do go out to work and their children have to be looked after in their absence, but they are located at widely scattered parts in the Borough and are not so congregated as to make the opening of a nursery school convenient for all or even most of them. Children under 5 years of age are admitted to the Infant Schools whenever accommodation is available and whenever the School Attendance Sub-Committee deem it advisable that",1932,Ealing,"employment,employed,employee,work,working,worked,job,occupation",Yes,,Not applicable/no view,Yes,Unspecified
b18247945,"married,women",CityofWestminster,CityofWestminster.1932.b18247945.txt,bigram + list of terms,"Female. Male. Female. Single 534 574 524 517 Married 426 312 438 384 Widowed or divorced 40 110 38 99 These tables give a good indication of certain of the special features of the population of the City. It is essentially an older population, the average age being 35.5 years for males and 36.9 for females, as compared with the averages for the whole County of 32.0 and 33.9 The preponderance of females over males is above the average for the County, and the proportion of single persons, especially females, is high. The last facts, and the greater number of married women who are over childbearing age in an older population, account largely for a low birth-rate. The relatively very low proportion of children in the population is due to this low birth-rate, and to the fact that the larger families are particularly apt to move away from Central London. The City offiers much employment to single persons in resident posts as hotel, club or domestic servants, and to married couples without children as caretakers. 17.2 per cent, of the population recorded in the Census were resident in hotels, boarding houses and lodging houses, as compared with 3.6 over the",1932,City of Westminster,"employment,employed,employee,work,working,worked,job,occupation",Yes,,Not applicable/No view,No,Domestic Service
b19876397,"married,women",Walthamstow,Walthamstow.1933.b19876397.txt,bigram + list of terms,"conditions. Renewed acknowledgment must be made of the excellent work of the staff. Women's Clinic.—The staffing and scope of this Clinic were detailed in the Report for 1932, and remained unaltered up to the end of September, when Miss M. Basden, M.D., F.R.C.S., F.C.O.G., was appointed to succeed Mrs. Ivens-Knowles who, unfortunately, resigned for personal reasons. In February, the sessions were increased from one to two per month. Total attendances have been as follows:— New Old Total Ante-Natal Cases 14 9 23 Gynaecological 115 246 361 Contraceptive 11 41 52 Total 140 296 436 Contraceptive advice is only given to married women in whose cases further pregnancy would be detrimental to health. It is hoped that private practitioners will utilise the Clinic particularly for Consultant ante-natal advice for those of their patients requiring it. (vi) Hospitals.— There were no changes during 1933 in the Hospital services used by the inhabitants of the Borough. Public Assistance in Walthamstow is provided by the SouthWest Area Committee of the Essex County Council, which retains a certain proportion of beds in each of the local institutions formerly provided by the West Ham Board of Guardians. Mr. Pegram, the Clerk to the Committee, has kindly",1933,Waltham Forest,"employment,employed,employee,work,working,worked,job,occupation",Yes,N/A,Not applicable/No view,No,Medicine
b19824361,"married,women",Harrow,Harrow.1935.b19824361.txt,bigram + list of terms,"which falls to 750 or 1,000 in the summer, the reduction being due to the engagement of employees in the building trade. During weather in the winter unfavourable for building operations there might be a rise to an additional one-third or even one-half the winter standard. There are no skilled men unemployed in the building, engineering or allied trades, practically all the unemployed being unskilled men who have come to friends or who have of their own accord come from distressed areas. The figures for unemployed women vary from 250 in winter to 160 in summer. These are chiefly young married women who are ""in and out,"" not being on the register long. There is practically no juvenile unemployment in the district. None of the local forms of employment prejudicially affects the health of the workers. Extracts from Vital Statistics for the Year. Live Births:— Total. Male. e. Legitimate 2,441 1,301 1,140 Birth Rate per 1,000 of the estimated resident population, 17.5 Illegitimate 82 38 44 Stillbirths:— Legitimate 77 43 34 Rate per 1,000 total (live and still) births, 30 Illegitimate 2 - 2 Deaths 1,108 547 561 Death rate per 1,000 of the estimated resident population, 7.7 Rate per",1935,Harrow,"employment,employed,employee,work,working,worked,job,occupation",Yes,,Not applicable/no view,No,Not specified
b19787960,"married,women",Ealing,Ealing.1936.b19787960.txt,bigram + list of terms,"that they should receive £25 a year in addition to the scale already mentioned. To encourage midwives in the employment of the Council to improve their status in the profession and thereby be of more value to the Council's Scheme, an additional increment of £10 a year should be granted to any midwife obtaining the teacher's certificate or an increment of £25 a year if she is ultimately employed in training pupils. 38 Appointment of married women. The Minister of Health in his Circular draws special attention to the fact that many authorities have a rule prohibiting the employment of married women and trusts that when first selecting midwives for salaried posts, the local authority will, where necessary, so revise this rule as to enable them to have regard only to their efficiency as midwives, subject, of course, to their ability to undertake whole-time employment. In view of this recommendation by the Minister it is suggested that in respect of the first appointments to the service married women at present in practice in the area be considered, subject to their ability to undertake whole-time employment. Payment of Allowances, provision of equipment, etc. The Council should pay an allowance in respect",1936,Ealing,"employment,employed,employee,work,working,worked,job,occupation",Yes,,Positive,No,Midwifery
b19783668,"married,women",Acton,Acton.1936.b19783668.txt,bigram + list of terms,"done in bag-washers and other closed containers, and then passed through the hydro-extractors operated by men. Married female labour was largely utilised, but this has not been eliminated by present conditions. Although most of the work has become mechanised, some of the processes still require an extensive experience as well as individual skill, and some of the most experienced and skilful are married women. This need for marieed female labour operates in diverse ways: it has its attendant evils as well as its economic advantages to the families concerned. the Day Nursery was established to meet the demands of the married women who worked in the laundries, and from its continued popularity, it shows that the demand still exists. Though Nursery 9 classes have been established, in some of the schools in the neighbourhood, the Day Nursery still works to capacity, and there is always a waiting list. Although the Day Nursery was established by a voluntary body, it was looked upon with sympathy, and supported by the Council's Health Committee, because it was believed that the conditions under which the babies were being minded, contributed to the high infantile mortality of the South-West Ward in those days. The necessity",1936,Ealing,"employment,employed,employee,work,working,worked,job,occupation",Yes,More text needed (from beginning of extract),Neutral,Yes,Laundry
b19783681,"married,women",Acton,Acton.1938.b19783681.txt,bigram + list of terms,"to conform with the necessary restrictions. We are not now discussing the relative advantages and disadvantages of the Day Nursery to those which obtain in the home. The Day Nursery may be only second best compared with a good home. It is a moot point if mothers should be encourraged to go into factories; is it a disadvantage to the children and also the mother benefit from factory life? The extra money is 2 temptation, but the home of the outdoor worker under the best of conditions presents a serious social problem. In some industrial encouragement is given to young married women to return to factories; they are the more experienced and expert workers, and requests are frequently made for their return, especially at rush periods. This is especially true of the laundry industry, but far as our figures go, the same conditions do not apply in the factories in North Acton. In the southern part of the district especially, in spite the Day Nursery and the eight nursery classes, there are children who are being minded in private houses, and on account of the conditions mentioned, this state of affairs is likely to cen for some time. For the",1938,Ealing,"employment,employed,employee,work,working,worked,job,occupation",Yes,More text also useful at the end of the extract,Neutral,Yes,"Factory, Laundry, Outwork"
b19784284,"married,women",Barking,Barking.1938.b19784284.txt,bigram + list of terms,"it makes upon her lungs, heart and other organs, to the effort of a trained woman athlete representing her country in some international games, and the effort demanded of the picked man who is chosen to go on Polar and other hazardous expeditions. We know what care is taken to see that these men and women are physically fit before they enter upon the later stages of their training, or before they actually go beyond the 132 reach of ordinary medical care, and it must be obvious that the same care and attention should be taken to see that young married women are fit to undertake the arduous and serious task of child-bearing. Once more I can only say that it is too late to try to build up the physique of a woman when she is already pregnant. Public Health Departments, both central and local, must see that something is done to ensure that all young married women are adequately instructed in matters of diet, have the necessary money to buy the essential constituents of a full and balanced diet, and that steps are taken to see they are brought up in such habits that they balance work, recreation",1938,Barking and Dagenham,"employment,employed,employee,work,working,worked,job,occupation",Yes,Need further text at the end of this extract - crucial sentence is there,Negative,Yes,Unspecified
b18250993,"married,women",Wandsworth,Wandsworth.1941.b18250993.txt,bigram + list of terms,"with milk under the Milk (Mothers and Children) Order, 1918. The cost to the Council was £55 14s. 5d. Grants are made to the Southwark Diocesan Association towards the maintenance of unmarried mothers in their institutions. Grants of £125 3s. 9d. have been made during the year. 19 children have been sent to Convalescent Homes, at a cost to the Council of £89 4s. 0d. 235 children under school age suffering from minor ailments were referred to the London County Council for treatment. The cost to the Borough Council was £55 14s. 0d. War Time Nurseries. A considerable number of married women who registered under the National Services Act stated they would be prepared to do work of national importance. As many of these women had young children some provision was required to be made for their care during the mothers' working hours. In May, 1941, the Ministry of Health and the President of the Board of Education issued circulars Nos. 2388 and 1553 on the subject. These circulars directed local authorities to provide war time nurseries in their area if the Ministry of Labour and National Service had come to the conclusion from the facts at Sanitary Supervision of",1941,Wandsworth,"employment,employed,employee,work,working,worked,job,occupation",Yes,,Not applicable/No view,Yes,War work (WWII)
b18252874,"married,women",LondonCountyCouncil,LondonCountyCouncil.1942.b18252874.txt,bigram + list of terms,"grave shortage of nursing staff throughout the country and the gradual and continual withdrawal for national needs of experienced men and women of all grades, the hospitals staff have, by working longer hours in some cases, by more intensive application in others, and by cheerful acceptance generally of wartime stress and strain, successfully carried out their task of providing treatment for a substantial proportion of the sick population of the County of London. The methods which were adopted to meet the shortage of staff arising from wartime conditions, e.g., employment of women as substitutes for porters and laundrymen, employment of married women and of staff generally beyond the normal 16 age of retirement, to which reference is made in my Interim Report for 1941, have continued to be applied throughout the year. There have been a number of vacancies which could not be filled at once—amounting on an average to about five per cent. of the total positions. These vacancies increased during the winter months when a high proportion of staff were absent on account of sickness. As practically no casual labour was available, some of the hospitals were seriously short of domestic staff and had to work at times",1942,London County Council,"employment,employed,employee,work,working,worked,job,occupation",Yes,,Not applicable/No view,No,War work (WWII)
b1979289x,"married,women",Leyton,Leyton.1943.b1979289x.txt,bigram + list of terms,"(chiefly measles, whooping cough and pneumonia.) 46 Mother not at work 31 Removals 23 Child alleged to be fretting 18 Child now attending school 5 Miscellaneous reasons... ... 29 Withdrawal of Children. Since the Nurseries were opened (i.e. during the first year), some 152 children, who were accepted for admission and were actually in attendance, have been withdrawn. 37 Attendances of Children. It was somewhat unfortunate that the nurseries were opened at a time when measles, scarlet fever, whooping cough and chicken pox were epidemic. In spite of the fact that the prime function of these nurseries is to release married women for industry, there are certain fundamental public health precautionary measures (e.g., exclusion of children with infectious or suspiciously infectious illness ; quarantine, etc.) which must be enforced in the public interest even although their enforcement may keep the mothers at home for a time. Infectious disease and its prevention in a day nursery is a serious problem requiring constant vigilant attention if the nursery is to be kept from degenerating into a hotbed of infection. The following figures show the average attendances throughout the year. It should be realised that a few months elapsed before each Nursery received",1943,Waltham Forest,"employment,employed,employee,work,working,worked,job,occupation",Yes,,Not applicable/No view,Yes,War work (WWII)
b19882683,"married,women",MertonandMorden,MertonandMorden.1944.b19882683.txt,bigram + list of terms,"or puerperal pyrexia. Home Helps. The revised Home Help scheme operating during the year 1944 has provided domestic assistance for 28 households as compared with 8 only during the previous year. The main features of the new scheme are, the increase in the rate of pay from an all-in payment of 30/- per week to an hourly rate of l/6d.; the arrangements supervised by a Home Help Organiser, and a reduction in the hours worked to those necessary only to carry out the essential domestic work of the house—generally from four to six per day—thus enabling a greater number of married women to take up this work. Enemy attack, evacuation and competition from superior priorities in the labour field have made the year a difficult one both in actual operation and in valuation of experience upon which to base future developments. Sterilised Maternity Outfits. Sterile outfits in sealed containers for use at confinements may be had from the Welfare Centres or from the Council's midwife. They are supplied at cost price, and in necessitous cases at half price or free of cost according to means. During the year 33 outfits Avere supplied at cost price. Dental Scheme. The demand for",1944,Merton,"employment,employed,employee,work,working,worked,job,occupation",Yes,,Not applicable/No view,No,Domestic service
b19784351,"married,women",Barking,Barking.1945.b19784351.txt,bigram + list of terms,"On the 10th December 1945, there were, however, only 118 insured persons without employment registered at the Barking Employment Exchange. The demand for labour has been greatly in excess of the supply but the importation of labour from other regions has not been possible, except in small numbers, owing to the difficulty in securing lodging accommodation in this and adjacent areas. A marked feature of industry during the war years has been the services rendered by married women, who were called upon to assist in the national effort. During the latter part of 1945, there was a visible tendency for married women to leave industry, due no doubt to increasing domestic responsibilities consequent upon the return of evacuee children and men returning home from the Forces. During the year, work was commenced at a site in Thames Road on the erection of a new Government Training Centre for training building trade workers. This Centre will be completed during 1946 and will provide for about 600 trainees at a time. 25 (e) Travelling Facilities. Time and time again, particularly, of course, before the war, I have made adverse comments on the facilities for travelling to and from Barking, and I do",1945,Barking and Dagenham,"employment,employed,employee,work,working,worked,job,occupation",Yes,,Not applicable/No view,Yes,Unspecified
b18236777,"married,women",BethnalGreenMetropolitanBorough,BethnalGreenMetropolitanBorough.1946.b18236777.txt,bigram + list of terms,"of the scheme necessitated the removal from the nurseries of a number of children whose parents had no prior claims in order to provide vacancies for those on the waiting list with such claims. This procedure which naturally aroused a little feeling was initiated at the end of 1946 and satisfactorily completed early in 1947. The categories entitling to preference in the allocation of nursery vacancies are as follow:— Separated or deserted wives. Widows. Unmarried mothers. Married women whose husbands are unemployed, or frequently ill and unable to work full time. Married women with husbands in the forces. Applications from married women whose husbands are in full-time employment are dealt with on their merits (the husband's earnings being one of the factors considered) when vacancies not required by the 21 priority groups are available. Accommodation is also made available when mothers have to undergo medical treatment in hospital or in cases of urgent domestic difficulties. SCHOOL HEALTH SERVICE. The County Medical Officer has kindly furnished me with the following statistics giving the results of the medical inspection of school children in the borough: Children examined 3,272 Bethnal Green. Per cent London (Average) Per cent. Clothing and Boots: Good 2,105 64.33",1946,Tower Hamlets,"employment,employed,employee,work,working,worked,job,occupation",Yes,,Not applicable/No view,Yes,Unspecified
b19824476,"married,women",Harrow,Harrow.1946.b19824476.txt,bigram + list of terms,"extension is to be given official recognition in the definition of the functions of the health visitor in the new Health Service Act. Her outlook is more sociological than clinical. Authorities provide day nurseries. The administration of these nurseries falls to the welfare committee in that it is the committee which has to be responsible for the arrangements for ensuring the health and well-being of the children but this is more the concern of the staff, whereas what concerns the committee more is the justification for the nurseries which leads to the discussion of such problems as the employment of married women and the country's drive for export. Again the domestic help service is not so very far removed from a domestic service agency, and while the service 5 deals with conditions closely related to the health or the sickness of the community the trend is the growth of a social welfare rather than a health, and certainly rather than a preventive health, service. The vital statistics for the year were very satisfactory, and as these are the only standards we have for assessing the health of a community we can assume that the health of the district was good.",1946,Harrow,"employment,employed,employee,work,working,worked,job,occupation",Yes,,Negative,Yes,Unspecified
b18237666,"married,women",Greenwich,Greenwich.1946.b18237666.txt,bigram + list of terms,"is used and 26 visits to other factories. Factories where Women are Employed.—Since the termination of the war there has been some diminution in the employment of women. As a general rule employers continue to show an increased interest in the welfare of their women workers, although their efforts are hampered by the general shortage of necessary material. Outworkers.—Premises where homework is carried on were visited on 30 occasions by the Woman Inspector. No case of Infectious Disease was reported during the year. It is significant 33 to note that the number of Outworkers has increased, which indicates that many married women with home ties prefer to work in their own time. The majority of the homes inspected were found to be very satisfactory. Disinfestation of Verminous Premises.—The work of disinfestation of verminous houses has continued on the lines noted upon in previous Reports. The Sanitary Inspectors dealt with 181 cases where the rooms were either verminous or dirty; in addition the Disinfestation Staff sprayed 481 rooms and contents with vermicidal fluid, whilst in 24 cases bedding, etc., was removed to the Council's Disinfecting Station and treated by steam disinfection. Aged, Infirm and Physically Incapacitated Persons.— Cases of infirm persons",1946,Greenwich,"employment,employed,employee,work,working,worked,job,occupation",Yes,,Not applicable/No view,No,Outwork
b18252904,"married,women",LondonCountyCouncil,LondonCountyCouncil.1946.b18252904.txt,bigram + list of terms,"with the utmost difficulty that a reasonable standard of efficiency was maintained. When the flying-bomb attack developed in 1944-45, the hospitals sustained further damage. Child-patients and chronic sick patients, together with nursing staff, were evacuated from London to hospitals administered by other authorities, and four hospitals were opened by the Council in the provinces with staff of all grades, mostly transferred from London. This increased the difficulties and it became necessary to resort to the recruitment of persons not normally eligible for employment, e.g., aliens and staff beyond the normal age of retirement; to extend the fields of employment of married women and part-time workers; and to employ women on work hitherto done by men. Return of staff from war service With the conclusion of the war, 322 members of the permanent staff returned by the end of 1945, and a further 706 by the end of 1946; 72 members of the staff were 58 killed in action or died on war service, apart from those killed in London by bombs. Except for a few who have not yet been demobilised, the remainder resigned their positions to take up other forms of work. Staffing position after the war The acute",1946,London County Council,"employment,employed,employee,work,working,worked,job,occupation",Yes,,Not applicable/No view,No,"Medicine, Nursing"
b19968152,"married,women",Heston,Heston.1947.b19968152.txt,bigram + list of terms,"1/'- per child per day. The attendance of children on Saturdays was poor, and only Nantly House Nursery opened regularly on Saturdays. The average attendance of children was 158 (Monday to Friday) and 17 (Saturday). The demand for accommodation continued and there was always a waiting list at each nursery. Admission generally was restricted to children of mothers in employment, but towards the end of the year the Council decided that social circumstances should also be considered and passed the following resolution "" that priority be accorded in the cases of children of separated or deserted wives, widows, unmarried mothers, married women whose husbands are frequently ill and unable to work full time and other cases of children in need of special care by reason of domestic or social conditions."" No excessive incidence of infectious disease was noted among the children attending the day nurseries. Shortage of staff was less than in previous years, but the educational care in the nurseries is still unsatisfactory owing to the shortage of trained nursery teachers and wardens. The chief causes of absence of staff are sickness, accidents or domestic reasons such as illness of child or relative. The percentage of time lost for",1947,Hounslow,"employment,employed,employee,work,working,worked,job,occupation",Yes,,Not applicable/No view,Yes,Not applicable
b19875095,"married,women",KingstonuponThames,KingstonuponThames.1947.b19875095.txt,bigram + list of terms,"Social Conditions. The Manager of the local Employment Exchange states that there was an increase in employment in the area during 1947. In the boroughs of Kingston, Maiden and Coombe, and Surbiton, and the Esher Urban District, which is the area with which the local Employment Exchange deals, approximately 2,000 more men, and 300 less women, were employed than in 1946. The total figure of employed persons was some 6,000 more than in 1939. The percentage figure for unemployed was very small. Towards the end of the year, signs of a desire to return to work on the part of married women was noticed, and the numbers on the womens' register was higher than for some years. As a result of the raising of the school leaving age, there were only 222 leavers as compared with the usual 600, so that the supply of juvenile labour was not nearly sufficient to meet the demand. I am indebted to the Manager of the local Employment Exchange for this, and other useful information, and for the ready co-operation of his department throughout the year. The principal industries of the area are general engineering, motor engineering, building, manufacture of radio components and construction",1947,Kingston upon Thames,"employment,employed,employee,work,working,worked,job,occupation",Yes,,Not applicable/No view,No,Unspecified
b19793212,"married,women",Orpington,Orpington.1947.b19793212.txt,bigram + list of terms,"an average, 40 hours a week. A total of 148 cases received assistance, and 297 home visits were made. In only 30 cases was full recovery not made. Of the cases referred to the Department for assistance, approximately 66.6 per cent. were recommended by Doctors, 22.5 per cent. by the Hospital Almoners, 6 per cent. by K.C.C. Health Visitors and Clinic Doctors, 2.9 per cent. by Public Assistance and the remaining 2 per cent. from miscellaneous sources, including the District Nurses. The number of women employed under the Scheme steadily increased throughout the year. The great need now is for married women who wish to work about four or five hours per day, but do not necessarily wish to be employed continuously and who do not mind periods of inactivity between cases. We cannot have too many of this type of worker on the Register, as it is our aim, eventually, to be able to answer any call for help immediately, which is not always possible under present conditions. DRAINAGE. The houses in the main portion of the District are on the water carriage system, and most of the houses are connected to the public sewers. 9 SANITARY STATISTICS. Number",1947,Bromley,"employment,employed,employee,work,working,worked,job,occupation",Yes,More text needed at beginning of extract,Neutral,No,Domestic service
b19968164,"married,women",Heston,Heston.1948.b19968164.txt,bigram + list of terms,"with accommodation for 189 children continued in operation during the year, and the charge was maintained at 1/- per child per day. The attendance of children on Saturdays was poor, and only Nantly House Nursery opened regularly on Saturdays. The average attendance of children was 174 (Monday to Friday) and 13 (Saturday). The demand for accommodation continued and there was always a waiting list at each nursery. Admission generally was restricted to children of mothers in employment, but social circumstances were also considered and priority was given in the cases of children of separated or deserted wives, widows, unmarried mothers, married women whose husbands are frequently ill and unable to work full time and other cases of children in need of special care by reason of domestic or social conditions. No excessive incidence of infectious disease was noted among the children attending the day nurseries. Shortage of staff was less than in previous years, but the educational care in the nurseries is still unsatisfactory owing to the shortage of trained nursery teachers and wardens. So far no explanation has been found for the relatively high rate of sickness absence in the day nursery staff. Residential Nurseries.—No residential nursery is maintained",1948,Hounslow,"employment,employed,employee,work,working,worked,job,occupation",Yes,,Not applicable/No view,Yes,Unspecified
b18252941,"married,women",LondonCountyCouncil,LondonCountyCouncil.1950.b18252941.txt,bigram + list of terms,"operatives with better wages and standards of living. The children of artisans and shopkeepers strive to enter the professions. This ""upgrading"" of social classes must have a beneficial effect on the mortality rates of diseases which reflect social class influences. The 1951 Census will show to what extent such social class change has happened. Rising living costs and the opportunities offered by increases in the numbers employed in distributive trades, light engineering, wireless assembly and in restaurants and "" snack bars,"" attracts much larger numbers of women into industry with consequent increased exposure to infection. It has been suggested that married women who are gainfully employed (in addition to housekeeping) have a higher risk of tuberculosis than single women of the same age, though married women who are not working have a lower incidence than single women. There have also been suggestions that sacrifices made by mothers to make the rations ""go round"" have had their effect on tuberculosis mortality in women of the older age groups. Whatever force there may or may not be in these suggestions it is certain that the differential tuberculosis mortality and morbidity of men in comparison with those of women (at least in the",1950,London County Council,"employment,employed,employee,work,working,worked,job,occupation",Yes,,Negative,No,Unspecified
b19793248,"married,women",Orpington,Orpington.1950.b19793248.txt,bigram + list of terms,"births. Unemployment. I am indebted to the Manager of the Local Labour Exchange for the following information :— "" The position of unemployment throughout the year was relatively steady. Towards the end of the period, however, the position worsened slightly owing to the seasonal slackness for painters and also due to the easing of demands for other building trade workers locally. 11 On the women's side the position was also fairly steady with the exception of a rise towards the end of the year due to a general shortage of vacancies for factory work locally and to the requirements of married women who were seeking employment of a part-time nature to meet their domestic commitments. A few women also came on to the register due to seasonal slackness in Agriculture and Market Gardening."" Open Air Recreational Amenities. Orpington is very fortunate in the number of its open air recreational facilities, for there are few things more refreshing both for the body and mind than the ability to be able to get away, even if only for an hour or so, from the turmoil and stress of modern city life. The Council, by its wise provision of these amenities, has given",1950,Bromley,"employment,employed,employee,work,working,worked,job,occupation",Yes,,Not applicable/No view,No,Unspecified
b1988154x,"married,women",WestHam,WestHam.1950.b1988154x.txt,bigram + list of terms,"north of the District Railway Line was continued during the year. It is fortunate that this ""key"" training home of the South West Essex area is situated near the borough boundary and that the County Authorities were willing to extend its services so far into the borough on the ""appointed day""; for the difficulties in the Council's own service, which were reported last year, 37 continued unabated,, In the absence of a Nurses"" Home or of any kind of living accommodation which can be offered to prospective applicants, recruitment has been practically limited to part-time staff. Many of these are married women with home ties and all the uncertainties which follow from them; and some are not fully qualified as nurses. All give loyal and creditable service, and the table below shows how much they accomplish, but a service built on such foundations is obviously dangerously insecure. Recognising this the Council took a far reaching and constructive step to overcome the difficulties by including a proposal to build a District Nurses' Home and headquarters in their programme of capital works for 1951* It is hoped that this project will succeed in attracting permanent whole-time nurses with appropriate qualifications to come",1950,Newham,"employment,employed,employee,work,working,worked,job,occupation",Yes,,Negative,No,Nursing
b18244907,"married,women",Lewisham,Lewisham.1951.b18244907.txt,bigram + list of terms,"the year, which included some to places in which no work was being done at the time of the visit, although the outworker was prepared to restart work when required. Uncleanliness and untidiness was noted in a few of the cases, but in no instance was it found necessary to serve a statutory notice. If the uncleanliness was of a moderately severe degree a revisit was paid at an early date. The impression obtained by the inspector was that, on the whole, only people with fairly good accommodation were doing outwork, probably because there was so much other work for married women if they want to earn money. Nearly all outworkers are seasonally employed. Dog Nuisances The Council operates a byelaw to prevent the fouling of the public footpath by dogs. The form of the byelaw is as follows :— (1) No person being in charge of a dog in any street or public place having the dog on a lead shall allow or permit such dog to deposit its excrement upon the public footway. (2) Any person offending against this byelaw shall be liable to a penalty not exceeding forty shillings. Complaints are sometimes received from members of the",1951,Lewisham,"employment,employed,employee,work,working,worked,job,occupation",Yes,,Neutral,No,"Outwork, Unspecified"
b1979325x,"married,women",Orpington,Orpington.1951.b1979325x.txt,bigram + list of terms,"last year's rate which was 24.9. Unemployment. There is no doubt whatever that during years of full employment there is a consequent improvement in the health of the population. I am indebted to the Manager of the Local Employment Exchange for the following information :— "" At the beginning of the year the Unemployed Register had been increased by men from the building trades (mainly painters) who were affected by seasonal slackness—otherwise the register consisted generally of older men and those who were limited to light work owing to disabilities. On the Women's side the register contained a number of married women seeking part-time work and others who wanted certain kinds of employment for which there was little demand. It was possible to place a few part-time workers, with local laundries on evening work and also with a large bakery. With the improved weather in April the position changed appreciably and men returned to building and decorating whilst women were employed in local factories and a wide range of other industries. This improvement continued throughout the summer months with a special demand for building workers and women for catering, laundries, domestic service and the retail distributive trades. The last quarter",1951,Bromley,"employment,employed,employee,work,working,worked,job,occupation",Yes,,Not applicable/No view,No,"Laundry, Factory, Unspecified"
b19881897,"married,women",Tottenham,Tottenham.1952.b19881897.txt,bigram + list of terms,"industries ranging from motor garages to furniture factories, from chocolate manufacturers to brass founders,. No heavy industry is included other than a firm of civil engineering contractors. In assessing the number of employees, office staff has been excluded, and employers included only if taking an active part in production. Employment of Women A large amount of female labour is employed in work which is light and clean such as gown manufacturers and in the production of radio valves. Many of the women are married and generally do not work a full day. Opinion expressed as to the advisability of employing married women varied.; Some firms preferred them on account of their greater sense of responsibility while others complained that the curtailed working day, irregular time keeping and absenteeism for domestic reasons created administrative and production problems. 44 Employment of Young Persons The employment of young persons is general, but the proportion varies according to the nature of the industry.; In only two instances has mention been made of an apprentice system. This may be a reflection of the unwillingness of young people to commit themselves to one class of employment over a period of years, and in the case of",1952,Haringey,"employment,employed,employee,work,working,worked,job,occupation",Yes,,Neutral,No,Factory
